inst#,solver,actualclass,predictedclass,, error, probability distribution
1,87479578,bad,bad,0.031 *0.969,,
2,7481378,bad,bad,0.03  *0.97 ,,
3,12926477,bad,bad,0     *1    ,,
4,12926476,bad,bad,0     *1    ,,
5,93485612,bad,good,*0.893  0.107,,
6,75259914,bad,good,*0.75   0.25 ,,
7,22938022,bad,bad,0     *1    ,,
8,22938023,bad,bad,0     *1    ,,
9,94479547,bad,bad,0.038 *0.962,,
10,52421325,bad,bad,0.037 *0.963,,
11,21591613,bad,bad,0.047 *0.953,,
12,21591612,bad,bad,0.047 *0.953,,
13,11728976,bad,bad,0     *1    ,,
14,21591615,bad,bad,0.047 *0.953,,
15,52198659,bad,bad,0.037 *0.963,,
16,52198657,bad,bad,0.037 *0.963,,
17,71929702,bad,good,*0.875  0.125,,
18,94599137,good,bad,0.205 *0.795,,
19,87479578,good,good,*1      0    ,,
20,73388125,bad,bad,0.043 *0.957,,
21,12926479,bad,bad,0.027 *0.973,,
22,52068145,good,good,*1      0    ,,
23,50249253,bad,bad,0.011 *0.989,,
24,52198660,bad,bad,0.013 *0.987,,
25,39942443,good,good,*0.763  0.237,,
26,44673503,bad,bad,0.011 *0.989,,
27,28187355,bad,bad,0.027 *0.973,,
28,64278029,bad,bad,0.01  *0.99 ,,
29,44526267,bad,bad,0.011 *0.989,,
30,87217530,bad,bad,0.043 *0.957,,
31,33173731,bad,bad,0.032 *0.968,,
32,7668975,bad,bad,0.005 *0.995,,
33,22938021,bad,bad,0.027 *0.973,,
34,47355262,bad,bad,0.011 *0.989,,
35,88987917,bad,bad,0.004 *0.996,,
36,30523628,good,good,*0.684  0.316,,
37,88304927,bad,bad,0     *1    ,,
38,92331214,bad,bad,0.004 *0.996,,
39,96689089,bad,bad,0.08  *0.92 ,,
40,14953989,bad,bad,0.027 *0.973,,
41,73388125,bad,bad,0.043 *0.957,,
42,87479579,good,bad,0.241 *0.759,,
43,12926478,bad,bad,0.027 *0.973,,
44,52068145,good,good,*1      0    ,,
45,50249253,bad,bad,0.011 *0.989,,
46,39942441,good,bad,0     *1    ,,
47,44526267,bad,bad,0.011 *0.989,,
48,33173731,bad,bad,0.032 *0.968,,
49,33998453,bad,bad,0.032 *0.968,,
50,47355262,bad,bad,0.011 *0.989,,
